Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.8973E-12,0.000000001,0,0.998900769,0,0
2.68457E-12,0.000000003,0,0.998301189,0,0
5.05704E-12,0.00000001,0,0.996402518,0,0
1.06499E-11,0.000000025,0,0.994503847,0,0
2.28342E-11,0.000000101,0.000000001,0.990106925,0,0
3.47974E-11,0.000000252,0.000000001,0.984810633,0,0
9.34309E-11,0.000001004,0.000000004,0.972719097,0,0
1.5876E-10,0.000002503,0.000000006,0.960727491,0,0
4.31358E-10,0.000010022,0.000000017,0.933746378,0,0
7.45976E-10,0.000025043,0.000000029,0.907664635,0,0
1.17059E-9,0.000050101,0.000000046,0.881582892,0,0
1.72367E-9,0.000100018,0.000000067,0.847406815,0,0
2.91929E-9,0.000250125,0.000000114,0.781452983,0,0
4.99521E-9,0.000500352,0.000000195,0.715499151,0,0
1.1022E-8,0.001000181,0.00000043,0.646747277,0,0
4.01468E-8,0.0025005,0.000001567,0.576896173,0,0
8.35691E-8,0.005008093,0.000003262,0.535225342,0,0
1.66572E-7,0.010000786,0.000006502,0.493054862,0,0
3.94053E-7,0.025021849,0.000015381,0.438293195,0,0
6.84215E-7,0.050037256,0.000026707,0.390726491,0,0
1.27695E-6,0.100004189,0.000049842,0.338563006,0,0
2.21704E-6,0.200140953,0.000086535,0.280503647,0,0
3.11756E-6,0.300022853,0.000121682,0.242630159,0,0
4.12652E-6,0.400215852,0.000161059,0.214749675,0,0
5.21941E-6,0.500173824,0.00020371,0.193264715,0,0
6.38922E-6,0.600400601,0.000249362,0.175976816,0,0
7.64295E-6,0.700129904,0.000298285,0.161686819,0,0
8.35617E-6,0.750314252,0.000326116,0.155391226,0,0
9.26922E-6,0.80064988,0.000361743,0.149695213,0,0
1.06107E-5,0.900235177,0.000414084,0.139702208,0,0
1.19317E-5,1.000668859,0.000465626,0.130808434,0,0
1.31092E-5,1.100487185,0.000511565,0.12281403,0,0
1.47057E-5,1.201394809,0.000573847,0.115519137,0,0
1.65121E-5,1.300999595,0.000644316,0.109123613,0,0
1.78681E-5,1.400664317,0.000697207,0.103327671,0,0
1.98838E-5,1.500671222,0.00077583,0.098031378,0,0
2.4652E-5,1.751523305,0.000961786,0.086639352,0,0
2.89267E-5,2.000426006,0.001128467,0.077445788,0,0
3.53973E-5,2.250259538,0.001380722,0.069651244,0,0
4.04145E-5,2.501407515,0.00157627,0.063055861,0,0
4.60131E-5,2.750337555,0.001794433,0.057259918,0,0
5.74418E-5,3.001581963,0.002239633,0.052263416,0,0
6.47402E-5,3.250414081,0.002523837,0.048266214,0,0
7.25349E-5,3.504203622,0.002827274,0.044568802,0,0
8.15006E-5,3.750884783,0.003176187,0.04137104,0,0
9.07095E-5,4.000928812,0.003534434,0.038473069,0,0
1.02805E-4,4.253724696,0.004004774,0.035874888,0,0
1.09972E-4,4.509914439,0.004283369,0.033476566,0,0
1.20476E-4,4.753828736,0.004691552,0.031378035,0,0
1.29746E-4,5.003082481,0.00505162,0.029379434,0,0
1.39738E-4,5.25892221,0.005439599,0.027480763,0,0
1.53706E-4,5.507483848,0.005981684,0.025781953,0,0
1.66405E-4,5.763700612,0.006474304,0.024183072,0,0
1.80997E-4,6.006960491,0.007040014,0.022784051,0,0
1.94572E-4,6.2542524,0.007566013,0.021484961,0,0
2.06275E-4,6.516146682,0.008019293,0.02018587,0,0
2.16349E-4,6.770406076,0.008409248,0.018986709,0,0
2.3416E-4,7.018116905,0.009098415,0.017887479,0,0
2.44378E-4,7.2579138,0.009493542,0.016888178,0,0
2.63487E-4,7.514298985,0.010232059,0.015888878,0,0
2.80997E-4,7.759917797,0.010908313,0.014989507,0,0
3.03975E-4,8.024847767,0.011795064,0.014090137,0,0
3.18525E-4,8.275203874,0.01235612,0.013290697,0,0
3.28931E-4,8.502336964,0.012757216,0.012591186,0,0
3.55282E-4,8.779906061,0.013772117,0.011791746,0,0
3.72095E-4,9.033209732,0.014419162,0.011092235,0,0
3.91267E-4,9.263375917,0.015156422,0.010492655,0,0
4.16648E-4,9.503988694,0.016131614,0.009893075,0,0
4.44192E-4,9.765070223,0.017188838,0.009293495,0,0
4.81392E-4,10.043032504,0.018614916,0.008693914,0,0
5.05896E-4,10.290314065,0.019553104,0.008194264,0,0
5.37772E-4,10.550742105,0.020772251,0.007694614,0,0
5.80067E-4,10.778099758,0.022387551,0.007294894,0,0
6.17874E-4,11.018837097,0.023829184,0.006895173,0,0
6.51464E-4,11.274705138,0.025108216,0.006495453,0,0
6.82615E-4,11.543508451,0.026292888,0.006095733,0,0
7.20197E-4,11.756741236,0.02772022,0.005795943,0,0
7.676E-4,12.057790597,0.029517565,0.005396223,0,0
7.91902E-4,12.292162896,0.030437732,0.005096432,0,0
8.0384E-4,12.532165084,0.030889429,0.004796642,0,0
8.61706E-4,12.784308199,0.033075878,0.004496852,0,0
8.96643E-4,13.051063911,0.034393573,0.004197062,0,0
1.16073E-3,13.258748831,0.044296024,0.003997202,0,0
1.37289E-3,13.518517331,0.052178044,0.003797342,0,0
1.45406E-3,13.803972785,0.055176374,0.003597482,0,0
1.67237E-3,14.118617686,0.063192994,0.003397622,0,0
1.70578E-3,14.289195225,0.064413904,0.003297692,0,0
1.77532E-3,14.638798181,0.066950077,0.003097832,0,0
1.82432E-3,14.821229966,0.068732961,0.002997901,0,0
1.82711E-3,15.003940829,0.068834402,0.002897971,0,0
1.93177E-3,15.387844423,0.072630711,0.002698111,0,0
1.95756E-3,15.583600775,0.073563929,0.002598181,0,0
1.96842E-3,15.780442495,0.073956336,0.002498251,0,0
2.22378E-3,16.207976514,0.083140875,0.002298391,0,0
2.36244E-3,16.44422087,0.08809007,0.002198461,0,0
3.66246E-3,16.810467178,0.133209661,0.002098531,0,0
4.46076E-3,17.256543091,0.159802515,0.001998601,0,0
4.61917E-3,17.718459887,0.164981617,0.001898671,0,0
4.71234E-3,18.189693672,0.168012839,0.001798741,0,0
5.07097E-3,18.696790976,0.179578461,0.001698811,0,0
8.22849E-3,19.519639618,0.274711144,0.001598881,0,0
1.0264E-2,20.546036789,0.330106855,0.001498951,0,0
1.33112E-2,21.877160525,0.405230897,0.001399021,0.142857143,0
1.49765E-2,23.374809188,0.442661356,0.001299091,0.142857143,0
1.59299E-2,24.967798674,0.463021354,0.001199161,0.142857143,0
1.66738E-2,26.635179948,0.478389713,0.001099231,0.142857143,0
2.06793E-2,28.70311332,0.553887179,0.0009993,0.142857143,0
2.54512E-2,31.248234332,0.629701431,0.00089937,0.142857143,0
5.27648E-2,36.524709516,0.87249304,0.00079944,0.285714286,0
6.02902E-2,42.553727929,0.904947609,0.00069951,0.285714286,0
6.48305E-2,49.036774131,0.920384721,0.00059958,0.428571429,0
7.00889E-2,56.045663387,0.935158104,0.00049965,0.428571429,0
9.94499E-2,65.990657241,0.97938761,0.00039972,0.571428571,0
1.01383E-1,76.128946395,0.980885586,0.00029979,0.714285714,0
1.12363E-1,87.365199966,0.987548133,0.00019986,0.714285714,0
1.26348E-1,100,0.992786378,0.00009993,0.857142857,0
1.26348E-1,100,0.992786378,0,0.857142857,0
