Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.49414E-9,0.000000549,0.000007299,1,0,0
9.67423E-9,0.000001517,0.000012851,0.999900547,0,0
1.27629E-8,0.000002793,0.000016955,0.999801094,0,0
2.0984E-8,0.000010964,0.000027875,0.999303829,0,0
2.64421E-8,0.000025525,0.000035126,0.998707111,0,0
3.32916E-8,0.000052778,0.000044225,0.997812034,0,0
3.97802E-8,0.000102937,0.000052844,0.996419692,0,0
5.24206E-8,0.00025009,0.000069635,0.993336648,0,0
6.65814E-8,0.000503412,0.000088445,0.989060169,0,0
8.4769E-8,0.001006009,0.000112604,0.982396818,0,0
1.33361E-7,0.002507835,0.000177145,0.968672302,0,0
1.88323E-7,0.005011316,0.000250142,0.953455992,0,0
2.69087E-7,0.010018374,0.000357399,0.93157633,0,0
4.75496E-7,0.025001889,0.000631465,0.891297862,0,0
7.7154E-7,0.05007206,0.001024414,0.85091994,0,0
1.25205E-6,0.100109471,0.001661888,0.800596718,0,0
2.03629E-6,0.200169813,0.002701418,0.740029836,0,0
2.7398E-6,0.300130141,0.003633019,0.698458478,0,0
3.37683E-6,0.400211952,0.004475849,0.665638986,0,0
3.9798E-6,0.500396854,0.005272944,0.638488314,0,0
4.6502E-6,0.600362374,0.006158432,0.615415216,0,0
5.30649E-6,0.700383009,0.007024521,0.595425162,0,0
5.6954E-6,0.750313106,0.0075374,0.586374938,0,0
6.0532E-6,0.800280642,0.008009025,0.577921432,0,0
6.77054E-6,0.900028893,0.008953879,0.562406763,0,0
7.40917E-6,1.000245118,0.009794302,0.548383889,0,0
7.95006E-6,1.100167928,0.010505538,0.535454998,0,0
8.62632E-6,1.200384688,0.011394071,0.523421183,0,0
9.36437E-6,1.300401104,0.01236288,0.5123819,0,0
1.00102E-5,1.400051566,0.013209889,0.50213824,0,0
1.05915E-5,1.501056444,0.013971546,0.492391845,0,0
1.23167E-5,1.750626123,0.016228753,0.470810542,0,0
1.39034E-5,2.001247147,0.018300143,0.451715564,0,0
1.56083E-5,2.250285529,0.020521101,0.434908006,0,0
1.72477E-5,2.501681762,0.02265184,0.419691696,0,0
1.88841E-5,2.750778293,0.024774261,0.405967181,0,0
2.08068E-5,3.001104546,0.027261967,0.393436101,0.017857143,0
2.24593E-5,3.251820826,0.029394957,0.381899552,0.017857143,0
2.45266E-5,3.501067128,0.032056817,0.371357534,0.017857143,0
2.65617E-5,3.751094442,0.034670107,0.361611139,0.017857143,0
2.80524E-5,4.000017781,0.036579886,0.352560915,0.017857143,0
3.03293E-5,4.251798001,0.0394896,0.344007956,0.017857143,0
3.20005E-5,4.50133915,0.041619613,0.336051716,0.017857143,0
3.37516E-5,4.751553652,0.043846395,0.328493287,0.017857143,0
3.51945E-5,5.002656624,0.045677337,0.321233217,0.017857143,0
3.66662E-5,5.250651627,0.047541324,0.31437096,0.017857143,0
3.83036E-5,5.501883329,0.049610858,0.307707608,0.017857143,0
3.99814E-5,5.752449563,0.051726789,0.301342616,0.017857143,0
4.15376E-5,6.000891143,0.053685069,0.295275982,0.035714286,0
4.33919E-5,6.25118779,0.056013351,0.289408255,0.035714286,0
4.53215E-5,6.504019638,0.058429937,0.283739433,0.035714286,0
4.6736E-5,6.75236572,0.060197525,0.278368971,0.035714286,0
4.82704E-5,7.00455847,0.062111323,0.273097961,0.035714286,0
4.9923E-5,7.250693789,0.064167999,0.268125311,0.035714286,0
5.14587E-5,7.504325337,0.066075177,0.26315266,0.035714286,0
5.27313E-5,7.754263906,0.067652713,0.258378916,0.035714286,0
5.40777E-5,8.000028011,0.069318889,0.253804078,0.053571429,0
5.57214E-5,8.253043982,0.071348848,0.249229239,0.053571429,0
5.71247E-5,8.501135526,0.073078408,0.244853307,0.053571429,0
5.88354E-5,8.750204873,0.075182461,0.240576827,0.053571429,0
6.02733E-5,9.000300381,0.076947322,0.236399801,0.053571429,0
6.19637E-5,9.251620166,0.079017863,0.232322228,0.053571429,0
6.43861E-5,9.504563652,0.081976787,0.228344107,0.053571429,0
6.58521E-5,9.752028149,0.083762824,0.224564893,0.053571429,0
6.81826E-5,10.006531475,0.086595049,0.220785679,0.053571429,0
6.92009E-5,10.253909964,0.087829811,0.21720537,0.053571429,0
7.07931E-5,10.5060989,0.089757107,0.213625062,0.071428571,0
7.25765E-5,10.750206181,0.091911024,0.21024366,0.071428571,0
7.48267E-5,11.000173412,0.094621475,0.206862258,0.071428571,0
7.6678E-5,11.250355176,0.096845444,0.203580308,0.071428571,0
7.86722E-5,11.507299713,0.099234769,0.200298359,0.071428571,0
8.06736E-5,11.754562615,0.101626544,0.197215316,0.071428571,0
8.21902E-5,12.007084724,0.103434637,0.194132273,0.071428571,0
8.42273E-5,12.256451874,0.105857599,0.191148682,0.071428571,0
8.59975E-5,12.503698628,0.107957833,0.188264545,0.071428571,0
8.85425E-5,12.756007813,0.110968573,0.185380408,0.071428571,0
9.04219E-5,13.007043771,0.11318548,0.182595724,0.071428571,0
9.24584E-5,13.254348703,0.115581276,0.179910492,0.071428571,0
9.48878E-5,13.507110339,0.118431053,0.177225261,0.071428571,0
9.70506E-5,13.757067455,0.120960268,0.174639483,0.071428571,0
9.90074E-5,14.00263247,0.123242362,0.172153158,0.071428571,0
1.00933E-4,14.252751774,0.125481799,0.169666832,0.071428571,0
1.02569E-4,14.507052241,0.127380885,0.167180507,0.089285714,0
1.0512E-4,14.756837839,0.130333466,0.164793635,0.089285714,0
1.07334E-4,15.00124667,0.132887166,0.162506216,0.089285714,0
