Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.14897E-13,0.000000001,0,0.970720496,0,0
2.24166E-13,0.000000003,0,0.962126511,0,0
6.18646E-13,0.00000001,0,0.943839312,0,0
1.24778E-12,0.000000025,0,0.927450784,0,0
3.70478E-12,0.0000001,0.000000001,0.895073449,0,0
8.53443E-12,0.000000251,0.000000002,0.869191566,0,0
3.17891E-11,0.000001002,0.000000009,0.825921855,0,0
7.49552E-11,0.000002503,0.000000022,0.79654242,0,0
2.59494E-10,0.000010024,0.000000075,0.746377536,0,0
6.03687E-10,0.000025032,0.000000174,0.710002998,0,0
1.11439E-9,0.000050065,0.000000322,0.680823424,0,0
2.14982E-9,0.000100002,0.000000621,0.648745878,0,0
5.91222E-9,0.000250318,0.000001707,0.607974418,0,0
1.33735E-8,0.00050029,0.00000386,0.579894074,0,0
2.58999E-8,0.001002057,0.000007476,0.553412611,0,0
6.2297E-8,0.002503026,0.000017981,0.517337863,0,0
1.23956E-7,0.005004551,0.000035779,0.48925752,0,0
2.36478E-7,0.010022821,0.000068256,0.460477666,0,0
6.16401E-7,0.025012779,0.000177904,0.422704107,0,0
1.19686E-6,0.050040856,0.000345406,0.393524533,0,0
2.29974E-6,0.100117747,0.000663586,0.364344959,0,0
4.31693E-6,0.200147045,0.001245277,0.333466573,0,0
6.00194E-6,0.3004725,0.001730922,0.313880284,0,0
7.46112E-6,0.400174596,0.002151288,0.298990707,0,0
8.99799E-6,0.500817529,0.002593843,0.28669931,0,0
1.04655E-5,0.600140491,0.003016247,0.276406515,0,0
1.17675E-5,0.700029989,0.00339084,0.267412811,0,0
1.26008E-5,0.750078476,0.00363053,0.263315679,0,0
1.34671E-5,0.800907233,0.003879651,0.259418407,0,0
1.45453E-5,0.900187072,0.004189598,0.252323374,0,0
1.61121E-5,1.000038205,0.004639856,0.24582792,0,0
1.72878E-5,1.101697477,0.004977595,0.239732187,0,0
1.81041E-5,1.200601025,0.005211994,0.234136105,0,0
1.97488E-5,1.301706007,0.005684143,0.228739882,0,0
2.07846E-5,1.400961703,0.005981375,0.22384331,0,0
2.17179E-5,1.501033571,0.006249111,0.219146597,0,0
2.50788E-5,1.750814012,0.007212696,0.208454082,0,0
2.78897E-5,2.002677374,0.008017875,0.198960727,0,0
3.13984E-5,2.251775035,0.009022003,0.190566603,0,0
3.48811E-5,2.500690703,0.010017688,0.18307185,0,0
3.78619E-5,2.751099651,0.010869089,0.176176676,0,0
4.13379E-5,3.001884197,0.011861026,0.169881083,0,0
4.47226E-5,3.251919226,0.012825918,0.16408514,0,0
4.76266E-5,3.50038257,0.013653044,0.158688918,0,0
5.15034E-5,3.754138956,0.014756171,0.153592485,0,0
5.46881E-5,4.002661561,0.015661435,0.148895773,0,0
5.82086E-5,4.251147474,0.016661188,0.144498851,0,0
6.21753E-5,4.505044202,0.017786418,0.140301789,0,0
6.57538E-5,4.754924006,0.018800444,0.136404517,0,0
7.02044E-5,5.006049994,0.020060108,0.132707105,0,0
7.47928E-5,5.252622517,0.021357112,0.129309483,0,0
7.74389E-5,5.50378911,0.022104272,0.126011792,0,0
8.10142E-5,5.757564652,0.023112934,0.12281403,0,0
8.57052E-5,6.00756931,0.024434783,0.119816129,0,0
9.02593E-5,6.253555602,0.02571632,0.117018087,0,0
9.48312E-5,6.503359594,0.027001175,0.114319976,0,0
9.92302E-5,6.755935288,0.028235856,0.111721795,0,0
1.03242E-4,7.009523935,0.029360469,0.109223544,0,0
1.05875E-4,7.250125884,0.03009786,0.106925152,0,0
1.10269E-4,7.510000389,0.031327154,0.104526831,0,0
1.14101E-4,7.758105137,0.032398017,0.10232837,0,0
1.18066E-4,8.002036373,0.033504898,0.100229839,0,0
1.21595E-4,8.253216609,0.034488713,0.098131308,0,0
1.27024E-4,8.500918874,0.036000752,0.096132707,0,0
1.31194E-4,8.759745052,0.037160235,0.094134106,0,0
1.37052E-4,9.002800499,0.038786859,0.092335365,0,0
1.41074E-4,9.252620639,0.039902284,0.090536624,0,0
