Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.84831E-8,0.000001848,0.000021526,1,0,0
2.12413E-8,0.000003972,0.000024739,0.999900685,0,0
2.58189E-8,0.000011556,0.00003007,0.999602741,0,0
3.47974E-8,0.000027886,0.000040527,0.999106167,0,0
3.83348E-8,0.000053151,0.000044646,0.998410964,0,0
4.18008E-8,0.000101157,0.000048683,0.997219188,0,0
5.23959E-8,0.000252882,0.000061022,0.994041116,0,0
6.43795E-8,0.000501355,0.000074978,0.989770583,0,0
8.87566E-8,0.001000404,0.000103367,0.983215811,0,0
1.35578E-7,0.002509549,0.000157892,0.969709008,0,0
1.92997E-7,0.005016772,0.000224753,0.954613169,0,0
2.82576E-7,0.010000261,0.000329054,0.933757076,0,0
4.97763E-7,0.025009962,0.000579562,0.895024332,0,0
7.87422E-7,0.050044086,0.000916666,0.856092959,0,0
1.26354E-6,0.100084613,0.001470522,0.806733539,0,0
1.97035E-6,0.200168872,0.002292182,0.745257722,0,0
2.61949E-6,0.300214336,0.003046189,0.701857185,0.014084507,0
3.24382E-6,0.400158593,0.00377085,0.667593604,0.014084507,0
3.91176E-6,0.500045792,0.004545545,0.63978548,0.014084507,0
4.64958E-6,0.60028563,0.005400587,0.616545834,0.014084507,0
5.35994E-6,0.700269942,0.006223122,0.596682888,0.014084507,0
5.68366E-6,0.750471222,0.006597725,0.587645248,0.014084507,0
6.11156E-6,0.800018603,0.007092678,0.579302811,0.014084507,0
6.83584E-6,0.900266452,0.007929887,0.563909028,0.014084507,0
7.51748E-6,1.000585375,0.008717161,0.550004966,0.014084507,0
8.2278E-6,1.100394229,0.009536909,0.537391995,0.014084507,0
8.87939E-6,1.200010975,0.010288273,0.525871487,0.014084507,0
9.50446E-6,1.300851975,0.011008515,0.514946867,0.014084507,0
1.0141E-5,1.400168913,0.011741428,0.504916079,0.014084507,0
1.08377E-5,1.500786836,0.012542977,0.495381865,0.014084507,0
1.26592E-5,1.75083643,0.014635616,0.474227828,0.014084507,0
1.42872E-5,2.00093331,0.016502248,0.455854603,0.014084507,0
1.60296E-5,2.251367149,0.018496051,0.439467673,0.014084507,0
1.77738E-5,2.501443614,0.020487844,0.424769093,0.028169014,0
1.94106E-5,2.75100175,0.022353336,0.41146092,0.028169014,0
2.15056E-5,3.001309119,0.024735813,0.399344523,0.028169014,0
2.32148E-5,3.251103027,0.026675314,0.388221273,0.028169014,0
2.49325E-5,3.501000778,0.028620549,0.377892541,0.028169014,0
2.65839E-5,3.75036269,0.030487125,0.368259013,0.028169014,0
2.80632E-5,4.001796003,0.032156009,0.359122058,0.028169014,0
2.95832E-5,4.252613407,0.033867844,0.350481676,0.028169014,0
3.08323E-5,4.500388279,0.035272366,0.342337869,0.028169014,0
3.20666E-5,4.751821086,0.036658182,0.33439269,0.028169014,0
3.37016E-5,5.002060226,0.038490913,0.326844771,0.028169014,0
3.53412E-5,5.250926026,0.040325211,0.319694111,0.028169014,0
3.70013E-5,5.500466588,0.042178983,0.312841394,0.028169014,0
3.85199E-5,5.753496587,0.043871563,0.306187308,0.028169014,0
3.99453E-5,6.000395045,0.045457516,0.29993048,0.028169014,0
4.12234E-5,6.251998395,0.046877323,0.293772967,0.028169014,0
4.27112E-5,6.504153933,0.048527503,0.287814083,0.028169014,0
4.39419E-5,6.751197043,0.049890316,0.282153143,0.028169014,0
4.56605E-5,7.002877537,0.051790127,0.276591519,0.028169014,0
4.69053E-5,7.252770801,0.053163827,0.271228523,0.028169014,0
