X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
32.19997,2.94998,train,7.260641032949414E-5,11.495009565997732,0.0810857835147486
32.253056,2.7675,train,0.0067201674248014015,80.10506135698988,0.9996010909696277
32.29899,2.77457,train,0.010926475974228404,88.83904395090154,0.9999970264034947
32.27083,2.78981,train,0.0017739295817098876,58.878510865238994,0.8733138491535795
32.28052,2.78006,train,0.005781975493720384,76.90603070006003,0.9988103465078795
32.28483,2.75438,train,0.007702655207369143,83.11029480967781,0.9998729654133437
32.28696,2.76501,train,0.01268380201519619,93.56598356746694,0.9999996159308615
32.25821,2.75769,train,0.0012040377380124498,54.064054932696685,0.7539711787825049
32.31241,2.76934,train,0.01005195533329524,87.74617587773054,0.9999917657680788
32.33738,2.6232,train,5.828225428087972E-4,45.75386018533879,0.49277262812286793
32.45124,2.89583,train,0.0017001865279858651,58.52431699565224,0.8619523252757472
32.36318,3.11075,train,6.010830868395775E-4,46.287910488475845,0.5034461875884548
32.3097,2.72306,train,4.7680439082279475E-4,42.138736783357565,0.4261112709543107
32.33078,2.94645,train,1.7528894148521238E-5,2.466329986207531,0.020208393676652503
32.2641,2.88287,train,5.8882801645178525E-5,9.251014254792459,0.06628033518736709
32.26927,2.83923,train,3.613980784487788E-4,36.70610260231854,0.34355048437238456
31.71122,1.68531,train,7.605075070161079E-4,49.38468737486381,0.5875912260678575
30.65889,-0.61639,train,0.0016168499101208973,57.35717381541136,0.8478816630754072
30.06457,0.70565,train,0.019256807580657558,100.0,0.9999999998181476
30.059999,0.7125,train,0.01447003976577781,96.31913226301276,0.9999999520362688
29.9926,0.675,train,0.017552096249746765,98.07431710628715,0.9999999986757232
30.04847,0.76126,train,0.0020427853846358467,61.524075988907164,0.9073726461440335
30.04,0.709,train,0.002947935451227968,66.14831349461441,0.9677220801841
30.22694,0.78944,train,0.0040606270750769445,70.30076755245032,0.9911672634244633
29.98128,0.64529,train,0.012092631326859513,92.29766360268944,0.9999992354087864
32.72498,0.64847,train,6.256690270984302E-5,9.92269173217162,0.07027812100517539
32.7279,0.64367,train,1.4325874452051523E-4,20.231993961313982,0.15367273574949947
32.70111,0.68306,train,0.0013485346242054425,56.005024115007444,0.7920791444623391
32.53611,0.58639,train,0.0033851243383106345,68.06064705571404,0.9806013663434926
32.51545,0.57387,train,1.6117181276574546E-4,22.130550391412463,0.17114659214475425
30.935,0.862,train,4.529005036254743E-4,40.824772622267226,0.409909647407362
30.93048,0.86472,train,2.8921124495365897E-4,32.84838632864551,0.2859738199730426
30.809,0.94207,train,0.006252164829005789,78.11720349167217,0.9993119909693283
30.80889,0.94166,train,0.005859342523722964,77.49197977978426,0.9989128549656704
30.75078,0.91513,train,0.005252554783921924,74.69583811021877,0.9977960251474461
30.75944,0.93806,train,0.0010633516093864611,52.72865310026901,0.710167955870775
32.501205,0.600755,train,2.1361595521215046E-4,27.029110053132,0.2202579250578146
32.53477,0.62037,train,6.920060747414746E-4,48.162519724171055,0.5533404872310828
32.5333,0.6167,train,6.789434552648124E-4,47.75933416611475,0.5464932160534741
32.4959,0.5824,train,1.760301456003494E-4,23.755713024964255,0.1853665516675761
32.57233,0.336167,train,0.002647967943513992,64.76518608868693,0.9542246129403571
29.7485,0.0571,train,0.0109512504583959,89.93201134456979,0.9999971109779117
29.76694,0.03389,train,0.011541342444610749,91.08842636222063,0.999998546963283
29.89806,0.06306,train,0.0018017580673048324,59.05867616842682,0.8773540470595242
29.7875,0.0625,train,0.001123797355428745,53.26353683602617,0.7298702897193792
29.725,0.04,train,0.009007178637278162,85.75394298744804,0.9999721976617332
29.93278,0.01583,train,2.5117542051303127E-6,0.2836100940997217,0.002921089972921842
29.77,0.043,train,0.013061290454514957,94.87207261315162,0.9999997525587606
29.78,0.05,train,0.003314512744662742,67.7221377432278,0.9789386030622698
31.47847,0.68401,train,0.0012368725612217476,54.31853997297164,0.7632021186225035
31.46167,0.69167,train,3.2664289595663926E-4,35.287389080402455,0.3164333879467113
31.3545,0.544,train,4.7456639330240935E-4,41.98746294161832,0.42461346243721476
31.5329,0.7947,train,2.582929721635309E-4,30.68314277589703,0.25979349204724667
31.395,0.5575,train,0.00889927212197859,84.85325421101948,0.9999684745358525
31.38847,0.5539,train,0.009872764773236764,86.74125760878081,0.9999898548277434
31.26667,0.53333,train,3.9108005953485006E-4,38.20965353770124,0.36585598627168636
31.3333,0.68333,train,0.0016488365124017643,57.693073849543666,0.8534443946158812
31.2856,0.5139,train,0.0011723750673678453,53.660419363070964,0.7447291214918195
31.50988,0.49765,train,0.002503426365641678,63.99357387327121,0.9458320296559536
31.64625,0.58133,train,2.0408935651901423E-4,26.320618321087103,0.2115582452788326
31.81972,0.54667,train,0.007292962105923914,80.83439705172346,0.9997952854365478
31.7,0.46667,train,1.440435357495122E-4,20.315942372996965,0.15444594472364181
31.6678,0.58115,train,5.506307240293362E-4,44.6144672621625,0.4733942254314447
31.58333,0.63333,train,6.121958923920762E-4,46.455995157074426,0.5098315486640361
31.672,0.2,train,3.7833345949757677E-4,37.65729698123323,0.35637152216964285
32.59524,0.31084,train,0.0035380469791994056,68.41443472735527,0.9837661555481984
32.58111,0.31361,train,0.0021411975897024423,62.57248212344525,0.9174035454412502
32.558,0.32,train,0.0053002377457440925,75.22578366233626,0.9979150860825056
32.41667,0.25,train,2.3030291566942867E-4,28.42587408979565,0.23526574821129276
32.47927,0.27949,train,0.0018169414574326116,59.420710708569075,0.8795038099135248
33.20317,0.439,train,0.002278646690495617,63.01834037146943,0.9296217745917202
